index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,counted_pct
123,107141,,,,,,,,,,,,,,,,,,82.2
124,107318,,,,,,,,,,,,,,,,,,30.4
125,107327,,,,,,,,,,,,,,,,,,30.8
126,107460,,,,,,,,,,,,,,,,,,62.1
127,107512,,,,,,,,,,,,,,,,,,86.5
128,107521,,,,,,,,,,,,,,,,,,55.6
129,107549,,,,,,,,,,,,,,,,,,36.3
130,107558,,,,,,,,,,,,,,,,,,73.6
131,107585,,,,,,,,,,,,,,,,,,53.9
132,107600,,,,,,,,,,,,,,,,,,68.2
133,107619,,,,,,,,,,,,,,,,,,57.6
134,107637,,,,,,,,,,,,,,,,,,53.1
135,107664,,,,,,,,,,,,,,,,,,47.6
136,107725,,,,,,,,,,,,,,,,,,40.8
137,107743,,,,,,,,,,,,,,,,,,34.5
138,107877,,,,,,,,,,,,,,,,,,45.1
139,107974,,,,,,,,,,,,,,,,,,46
140,107983,,,,,,,,,,,,,,,,,,68.5
141,107992,,,,,,,,,,,,,,,,,,48.7
142,108092,,,,,,,,,,,,,,,,,,73.5
143,108232,,,,,,,,,,,,,,,,,,52.8
144,108250,,,,,,,,,,,,,,,,,,80.8
145,108667,,,,,,,,,,,,,,,,,,8.3
146,108807,,,,,,,,,,,,,,,,,,27.9
147,108852,,,,,,,,,,,,,,,,,,100
148,109040,,,,,,,,,,,,,,,,,,
149,109208,,,,,,,,,,,,,,,,,,15.3
150,109350,,,,,,,,,,,,,,,,,,28.5
151,109651,,,,,,,,,,,,,,,,,,69.3
152,109785,,,,,,,,,,,,,,,,,,59.4
153,109819,,,,,,,,,,,,,,,,,,31.4
154,109907,,,,,,,,,,,,,,,,,,20.8
155,110060,,,,,,,,,,,,,,,,,,56.8
156,110097,,,,,,,,,,,,,,,,,,75.6
