index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,cohort_size
167,110486,2010.0,17.6,1.4,43.3,20.5,43.3,5.2,12.7,15.1,63.8,4.3,7.6,9.8,68.4,7.2,3.2,5.2,859.0
168,110495,2010.0,23.1,3.4,40.9,17.0,30.9,10.6,18.1,11.6,70.9,3.1,7.0,4.7,72.2,4.4,2.9,3.6,910.0
169,110510,2011.0,1.2,0.7,69.3,14.5,37.1,4.0,23.4,13.4,61.5,4.2,20.4,4.9,73.7,6.9,3.1,4.9,1656.0
170,110529,2010.0,19.2,1.5,54.9,15.1,56.4,6.4,12.8,10.5,70.4,5.6,11.4,5.0,78.3,7.7,2.0,2.8,3414.0
171,110538,2010.0,20.2,2.7,53.6,16.1,63.1,7.8,6.0,9.2,65.1,3.3,11.0,6.4,71.9,5.1,2.2,4.1,2710.0
172,110547,2011.0,6.0,2.2,45.9,25.0,19.9,5.8,19.0,19.6,57.2,4.5,14.7,7.9,61.9,5.8,3.8,6.3,913.0
173,110556,2010.0,16.9,1.6,52.4,15.4,50.9,4.7,12.1,11.9,68.1,2.8,10.3,5.3,75.2,4.0,1.5,4.2,2552.0
174,110565,2011.0,14.0,2.4,54.0,19.2,50.5,6.3,10.9,14.2,71.6,2.7,9.8,4.6,77.0,4.1,1.9,3.7,4040.0
175,110574,,,,,,,,,,,,,,,,,,1032.0
176,110583,2010.0,12.7,1.6,62.4,14.7,54.3,6.0,15.0,11.1,73.4,2.5,10.2,4.4,80.3,3.7,2.7,2.8,4134.0
177,110592,2010.0,8.1,3.1,58.7,18.8,38.4,8.3,20.3,18.8,48.8,8.7,16.3,25.3,55.7,13.3,2.5,21.3,1767.0
178,110608,2010.0,14.2,1.3,55.0,15.4,36.8,4.0,14.5,15.7,74.9,1.9,7.2,5.4,78.1,3.3,1.3,3.3,3978.0
179,110617,2010.0,9.1,2.7,57.9,19.5,40.7,8.6,14.1,16.4,60.9,4.8,14.6,6.1,67.6,7.1,2.2,5.1,2357.0
180,110635,,,,,,,,,,,,,,,,,,4226.0
181,110644,,,,,,,,,,,,,,,,,,4943.0
182,110653,,,,,,,,,,,,,,,,,,4917.0
183,110662,,,,,,,,,,,,,,,,,,4562.0
184,110671,,,,,,,,,,,,,,,,,,3701.0
185,110680,,,,,,,,,,,,,,,,,,4141.0
186,110705,,,,,,,,,,,,,,,,,,4321.0
187,110714,,,,,,,,,,,,,,,,,,3604.0
188,110945,,,,,,,,,,,,,,,,,,316.0
189,111009,,,,,,,,,,,,,,,,,,380.0
190,111081,,,,,,,,,,,,,,,,,,134.0
191,111188,2010.0,46.9,0.0,30.5,0.0,60.9,3.9,5.5,0.0,73.4,3.1,12.5,1.6,79.7,3.1,1.6,6.2,155.0
192,111434,,,,,,,,,,,,,,,,,,298.0
193,111461,,,,,,,,,,,,,,,,,,1085.0
194,111638,,,,,,,,,,,,,,,,,,126.0
195,111887,,,,,,,,,,,,,,,,,,1336.0
196,111896,,,,,,,,,,,,,,,,,,237.0
197,111920,,,,,,,,,,,,,,,,,,1023.0
198,111939,,,,,,,,,,,,,,,,,,1166.0
199,111948,,,,,,,,,,,,,,,,,,933.0
200,111966,,,,,,,,,,,,,,,,,,
201,112075,,,,,,,,,,,,,,,,,,227.0
202,112084,,,,,,,,,,,,,,,,,,80.0
203,112172,,,,,,,,,,,,,,,,,,857.0
204,112190,,,,,,,,,,,,,,,,,,1461.0
205,112260,,,,,,,,,,,,,,,,,,268.0
206,112385,,,,,,,,,,,,,,,,,,140.0
207,112394,,,,,,,,,,,,,,,,,,16.0
208,112446,,,,,,,,,,,,,,,,,,1.0
209,112561,,,,,,,,,,,,,,,,,,250.0
210,112570,,,,,,,,,,,,,,,,,,54.0
211,112686,,,,,,,,,,,,,,,,,,371.0
212,112826,,,,,,,,,,,,,,,,,,361.0
213,113096,,,,,,,,,,,,,,,,,,805.0
214,113111,,,,,,,,,,,,,,,,,,461.0
215,113193,,,,,,,,,,,,,,,,,,1095.0
216,113218,,,,,,,,,,,,,,,,,,654.0
217,113236,,,,,,,,,,,,,,,,,,1080.0
218,113333,,,,,,,,,,,,,,,,,,2230.0
219,113573,,,,,,,,,,,,,,,,,,819.0
220,113582,,,,,,,,,,,,,,,,,,12.0
221,113634,,,,,,,,,,,,,,,,,,1251.0
222,113698,,,,,,,,,,,,,,,,,,297.0
